Recipient_Gender,Recipient_Age,Relationship_Status,Budget,Occasion,Preference,Relationship_Length,Personal_Interest,Special_Note,Gift_Popularity,Gift_Purpose,Past_Gift_Reaction,Delivery_Method,Gift_Wrapping_Preference,Best_Gift
Female,43,Married,Luxury (>$500),Anniversary Valentine,Practical,6 months - 1 year,Cooking,Prefers experiences over items,Very Popular,Spontaneous Surprise,Never Given Gift Before,Courier,Minimalist,Perfume
Female,51,Single,Luxury (>$500),Casual Valentine,Surprise,3+ years,Cooking,Handmade gifts appreciated,Moderately Popular,Spontaneous Surprise,Highly Appreciated,Planned Surprise,Fancy Wrapping,Perfume
Female,32,Complicated,Low (<$20),First Valentine,Surprise,1-3 years,Reading,Has allergies,Very Popular,Apology,Neutral,Planned Surprise,No Wrapping,Tech Gadgets
Female,32,Single,Luxury (>$500),Anniversary Valentine,Practical,6 months - 1 year,Art,Has allergies,Moderately Popular,Expression of Love,Never Given Gift Before,In-Person,Minimalist,Fashion Accessories
Male,29,Engaged,High ($100-$500),First Valentine,Practical,<6 months,Gaming,Prefers experiences over items,Rare Choice,Expression of Love,Neutral,In-Person,Fancy Wrapping,Fashion Accessories
Female,30,Dating,Luxury (>$500),Long-Distance Valentine,Practical,<6 months,Reading,Has allergies,Moderately Popular,Expression of Love,Never Given Gift Before,Planned Surprise,Eco-Friendly,Handmade Gift
Female,28,Single,High ($100-$500),Casual Valentine,Romantic,3+ years,Technology,Enjoys luxury items,Very Popular,Spontaneous Surprise,Neutral,Online Delivery,Fancy Wrapping,Personalized Gift
Male,36,Single,Low (<$20),Anniversary Valentine,Fun,<6 months,Sports,Handmade gifts appreciated,Very Popular,Celebration,Highly Appreciated,Planned Surprise,Fancy Wrapping,Flowers
Male,47,Engaged,Medium ($20-$100),Long-Distance Valentine,Practical,6 months - 1 year,Art,Prefers practical gifts,Rare Choice,Expression of Love,Neutral,Online Delivery,No Wrapping,Personalized Gift
Female,24,Dating,Medium ($20-$100),Long-Distance Valentine,Luxury,<6 months,Reading,Enjoys luxury items,Very Popular,Expression of Love,Highly Appreciated,Planned Surprise,Minimalist,Personalized Gift
Non-Binary,42,Engaged,Low (<$20),First Valentine,Fun,<6 months,Technology,Handmade gifts appreciated,Moderately Popular,Celebration,Disliked,In-Person,No Wrapping,Handmade Gift
Non-Binary,20,Single,Low (<$20),First Valentine,Practical,6 months - 1 year,Music,Enjoys luxury items,Very Popular,Celebration,Neutral,Planned Surprise,No Wrapping,Perfume
Male,42,Dating,High ($100-$500),First Valentine,Sentimental,1-3 years,Music,Prefers experiences over items,Moderately Popular,Apology,Highly Appreciated,Courier,Minimalist,Fashion Accessories
Male,27,Complicated,Luxury (>$500),Casual Valentine,Romantic,<6 months,Fashion,Prefers experiences over items,Rare Choice,Apology,Highly Appreciated,Online Delivery,No Wrapping,Jewelry
Male,52,Single,Medium ($20-$100),Casual Valentine,Practical,1-3 years,Art,Prefers practical gifts,Very Popular,Celebration,Neutral,Courier,Fancy Wrapping,"Experience (Trip, Dinner, etc.)"
Female,40,Engaged,Low (<$20),First Valentine,Fun,3+ years,Sports,Prefers experiences over items,Moderately Popular,Apology,Neutral,Courier,Fancy Wrapping,Personalized Gift
Other,48,Complicated,Medium ($20-$100),Casual Valentine,Surprise,1-3 years,Fitness,Enjoys luxury items,Very Popular,Apology,Neutral,Courier,No Wrapping,"Experience (Trip, Dinner, etc.)"
Female,21,Engaged,Luxury (>$500),First Valentine,Luxury,3+ years,Sports,Handmade gifts appreciated,Very Popular,Expression of Love,Neutral,In-Person,Fancy Wrapping,Chocolates
Male,39,Dating,Luxury (>$500),Anniversary Valentine,Fun,6 months - 1 year,Reading,Prefers practical gifts,Moderately Popular,Spontaneous Surprise,Never Given Gift Before,Courier,No Wrapping,Flowers
Female,29,Complicated,Luxury (>$500),Anniversary Valentine,Practical,3+ years,Cooking,Tech-savvy,Very Popular,Celebration,Never Given Gift Before,In-Person,Minimalist,Chocolates
Female,19,Married,Medium ($20-$100),Casual Valentine,Fun,1-3 years,Travel,Has allergies,Rare Choice,Expression of Love,Highly Appreciated,Courier,No Wrapping,Perfume
Non-Binary,31,Married,Low (<$20),Long-Distance Valentine,Fun,<6 months,Reading,Has allergies,Moderately Popular,Spontaneous Surprise,Disliked,Planned Surprise,Fancy Wrapping,Fashion Accessories
Female,57,Dating,Medium ($20-$100),First Valentine,Sentimental,1-3 years,Travel,Loves surprises,Rare Choice,Spontaneous Surprise,Never Given Gift Before,Planned Surprise,Eco-Friendly,Jewelry
Male,40,Single,High ($100-$500),First Valentine,Sentimental,1-3 years,Travel,Has allergies,Very Popular,Expression of Love,Disliked,Courier,Fancy Wrapping,Chocolates
Other,31,Married,Luxury (>$500),First Valentine,Romantic,<6 months,Art,Has allergies,Rare Choice,Spontaneous Surprise,Neutral,Planned Surprise,Fancy Wrapping,Jewelry
Male,25,Engaged,High ($100-$500),First Valentine,Fun,6 months - 1 year,Art,Loves surprises,Very Popular,Spontaneous Surprise,Disliked,In-Person,No Wrapping,Perfume
Non-Binary,53,Single,High ($100-$500),Long-Distance Valentine,Surprise,3+ years,Fitness,Enjoys luxury items,Very Popular,Spontaneous Surprise,Neutral,Online Delivery,Fancy Wrapping,Tech Gadgets
Other,46,Complicated,High ($100-$500),First Valentine,Sentimental,<6 months,Art,Has allergies,Very Popular,Spontaneous Surprise,Never Given Gift Before,Planned Surprise,Minimalist,Perfume
Female,18,Dating,Luxury (>$500),Long-Distance Valentine,Practical,<6 months,Cooking,Handmade gifts appreciated,Rare Choice,Apology,Neutral,In-Person,Minimalist,Personalized Gift
Other,49,Single,High ($100-$500),Anniversary Valentine,Surprise,6 months - 1 year,Technology,Prefers practical gifts,Very Popular,Apology,Highly Appreciated,Courier,Minimalist,Flowers
Other,57,Married,Luxury (>$500),Anniversary Valentine,Sentimental,<6 months,Fitness,Loves surprises,Very Popular,Spontaneous Surprise,Highly Appreciated,In-Person,Eco-Friendly,Chocolates
Non-Binary,39,Engaged,Luxury (>$500),First Valentine,Luxury,3+ years,Travel,Tech-savvy,Rare Choice,Expression of Love,Disliked,Online Delivery,No Wrapping,Fashion Accessories
Female,51,Married,Medium ($20-$100),Casual Valentine,Sentimental,3+ years,Fitness,Loves surprises,Very Popular,Celebration,Disliked,Online Delivery,Eco-Friendly,Tech Gadgets
Female,54,Dating,High ($100-$500),Anniversary Valentine,Practical,3+ years,Sports,Handmade gifts appreciated,Rare Choice,Apology,Highly Appreciated,Courier,Minimalist,Chocolates
Male,54,Single,Medium ($20-$100),Long-Distance Valentine,Sentimental,6 months - 1 year,Sports,Has allergies,Moderately Popular,Spontaneous Surprise,Disliked,In-Person,Eco-Friendly,Handmade Gift
Non-Binary,42,Engaged,High ($100-$500),First Valentine,Surprise,<6 months,Music,Tech-savvy,Very Popular,Apology,Neutral,Courier,Minimalist,Subscription Service
Female,19,Engaged,Medium ($20-$100),Casual Valentine,Surprise,6 months - 1 year,Cooking,Has allergies,Moderately Popular,Apology,Never Given Gift Before,Planned Surprise,Fancy Wrapping,Flowers
Female,58,Married,High ($100-$500),Long-Distance Valentine,Surprise,6 months - 1 year,Art,Handmade gifts appreciated,Very Popular,Expression of Love,Disliked,In-Person,No Wrapping,Perfume
Non-Binary,38,Engaged,Low (<$20),Long-Distance Valentine,Sentimental,6 months - 1 year,Reading,Handmade gifts appreciated,Moderately Popular,Spontaneous Surprise,Disliked,Planned Surprise,No Wrapping,Tech Gadgets
Female,40,Single,High ($100-$500),First Valentine,Luxury,3+ years,Fitness,Handmade gifts appreciated,Very Popular,Celebration,Disliked,Courier,No Wrapping,Chocolates
Non-Binary,59,Complicated,Luxury (>$500),Long-Distance Valentine,Sentimental,3+ years,Music,Prefers practical gifts,Moderately Popular,Spontaneous Surprise,Disliked,Online Delivery,Minimalist,Fashion Accessories
Male,53,Complicated,Luxury (>$500),First Valentine,Surprise,1-3 years,Technology,Handmade gifts appreciated,Moderately Popular,Celebration,Never Given Gift Before,In-Person,Eco-Friendly,Chocolates
Female,49,Dating,Medium ($20-$100),Long-Distance Valentine,Luxury,<6 months,Sports,Prefers experiences over items,Very Popular,Celebration,Disliked,Online Delivery,No Wrapping,Flowers
Other,27,Single,Luxury (>$500),Anniversary Valentine,Practical,<6 months,Fashion,Handmade gifts appreciated,Rare Choice,Apology,Neutral,Online Delivery,Minimalist,Tech Gadgets
Male,28,Engaged,Luxury (>$500),Long-Distance Valentine,Surprise,1-3 years,Fashion,Has allergies,Rare Choice,Expression of Love,Never Given Gift Before,In-Person,Minimalist,Tech Gadgets
Other,32,Married,Medium ($20-$100),First Valentine,Fun,1-3 years,Music,Prefers experiences over items,Moderately Popular,Celebration,Disliked,In-Person,No Wrapping,Fashion Accessories
Other,33,Single,Low (<$20),First Valentine,Fun,6 months - 1 year,Sports,Enjoys luxury items,Rare Choice,Celebration,Neutral,Online Delivery,Fancy Wrapping,Subscription Service
Other,22,Married,Medium ($20-$100),Anniversary Valentine,Luxury,3+ years,Art,Prefers practical gifts,Rare Choice,Expression of Love,Disliked,Courier,No Wrapping,Personalized Gift
Other,44,Married,Medium ($20-$100),Casual Valentine,Surprise,6 months - 1 year,Reading,Prefers practical gifts,Very Popular,Apology,Highly Appreciated,In-Person,Minimalist,Fashion Accessories
Male,58,Married,Low (<$20),Long-Distance Valentine,Surprise,<6 months,Fashion,Handmade gifts appreciated,Rare Choice,Celebration,Never Given Gift Before,In-Person,No Wrapping,Chocolates
Other,54,Complicated,Medium ($20-$100),First Valentine,Surprise,<6 months,Reading,Has allergies,Very Popular,Apology,Highly Appreciated,In-Person,No Wrapping,Perfume
Male,23,Single,Low (<$20),Casual Valentine,Romantic,3+ years,Music,Prefers experiences over items,Moderately Popular,Expression of Love,Neutral,Planned Surprise,No Wrapping,Chocolates
Female,21,Engaged,Medium ($20-$100),Long-Distance Valentine,Practical,1-3 years,Art,Enjoys luxury items,Very Popular,Spontaneous Surprise,Highly Appreciated,Planned Surprise,Minimalist,Personalized Gift
Non-Binary,26,Dating,Medium ($20-$100),Casual Valentine,Romantic,<6 months,Gaming,Prefers practical gifts,Moderately Popular,Spontaneous Surprise,Highly Appreciated,Courier,Minimalist,Handmade Gift
Other,50,Complicated,Medium ($20-$100),First Valentine,Fun,1-3 years,Fashion,Prefers experiences over items,Very Popular,Apology,Disliked,Online Delivery,Minimalist,"Experience (Trip, Dinner, etc.)"
Non-Binary,21,Married,Luxury (>$500),Anniversary Valentine,Luxury,3+ years,Music,Prefers experiences over items,Rare Choice,Expression of Love,Highly Appreciated,Online Delivery,Fancy Wrapping,Flowers
Non-Binary,47,Engaged,Luxury (>$500),First Valentine,Romantic,<6 months,Fashion,Prefers experiences over items,Rare Choice,Expression of Love,Highly Appreciated,Online Delivery,No Wrapping,Fashion Accessories
Male,18,Engaged,High ($100-$500),First Valentine,Luxury,<6 months,Art,Enjoys luxury items,Rare Choice,Celebration,Disliked,Online Delivery,No Wrapping,Jewelry
Non-Binary,29,Single,High ($100-$500),Anniversary Valentine,Luxury,6 months - 1 year,Sports,Loves surprises,Rare Choice,Spontaneous Surprise,Never Given Gift Before,Planned Surprise,Eco-Friendly,Perfume
Male,49,Complicated,Medium ($20-$100),Long-Distance Valentine,Practical,3+ years,Travel,Tech-savvy,Moderately Popular,Expression of Love,Disliked,Planned Surprise,Minimalist,Perfume
Non-Binary,38,Engaged,Low (<$20),First Valentine,Sentimental,6 months - 1 year,Music,Prefers practical gifts,Moderately Popular,Expression of Love,Disliked,In-Person,Fancy Wrapping,Chocolates
Male,26,Engaged,Luxury (>$500),First Valentine,Fun,1-3 years,Cooking,Tech-savvy,Rare Choice,Celebration,Disliked,Planned Surprise,Eco-Friendly,Handmade Gift
Other,23,Complicated,Medium ($20-$100),Casual Valentine,Luxury,<6 months,Gaming,Tech-savvy,Very Popular,Apology,Disliked,Planned Surprise,Eco-Friendly,Perfume
Other,21,Engaged,High ($100-$500),Long-Distance Valentine,Romantic,1-3 years,Fitness,Prefers experiences over items,Very Popular,Apology,Never Given Gift Before,Online Delivery,Eco-Friendly,Subscription Service
Male,35,Complicated,Medium ($20-$100),Casual Valentine,Romantic,1-3 years,Music,Has allergies,Very Popular,Apology,Highly Appreciated,Online Delivery,Fancy Wrapping,Handmade Gift
Other,22,Dating,Medium ($20-$100),Long-Distance Valentine,Fun,3+ years,Technology,Prefers practical gifts,Very Popular,Spontaneous Surprise,Never Given Gift Before,Online Delivery,No Wrapping,Perfume
Other,24,Complicated,Medium ($20-$100),Casual Valentine,Sentimental,3+ years,Music,Prefers practical gifts,Very Popular,Spontaneous Surprise,Neutral,In-Person,Fancy Wrapping,Flowers
Non-Binary,36,Engaged,High ($100-$500),Long-Distance Valentine,Romantic,1-3 years,Fitness,Tech-savvy,Moderately Popular,Spontaneous Surprise,Never Given Gift Before,Online Delivery,No Wrapping,Personalized Gift
Female,35,Dating,High ($100-$500),Casual Valentine,Romantic,<6 months,Music,Enjoys luxury items,Rare Choice,Apology,Highly Appreciated,Online Delivery,Minimalist,Tech Gadgets
Male,36,Complicated,Luxury (>$500),Casual Valentine,Sentimental,1-3 years,Travel,Handmade gifts appreciated,Very Popular,Apology,Neutral,In-Person,Eco-Friendly,Handmade Gift
Other,30,Dating,Medium ($20-$100),Casual Valentine,Romantic,6 months - 1 year,Fashion,Handmade gifts appreciated,Very Popular,Apology,Never Given Gift Before,Courier,Minimalist,Subscription Service
Female,42,Married,Low (<$20),Casual Valentine,Surprise,3+ years,Reading,Loves surprises,Rare Choice,Spontaneous Surprise,Never Given Gift Before,In-Person,No Wrapping,Subscription Service
Non-Binary,50,Engaged,High ($100-$500),Long-Distance Valentine,Surprise,6 months - 1 year,Reading,Handmade gifts appreciated,Moderately Popular,Expression of Love,Neutral,Planned Surprise,No Wrapping,Fashion Accessories
Other,53,Married,Luxury (>$500),Anniversary Valentine,Sentimental,<6 months,Music,Loves surprises,Rare Choice,Celebration,Neutral,In-Person,Minimalist,Chocolates
Male,58,Married,High ($100-$500),Anniversary Valentine,Luxury,6 months - 1 year,Cooking,Loves surprises,Very Popular,Celebration,Highly Appreciated,Online Delivery,Eco-Friendly,Fashion Accessories
Other,48,Engaged,High ($100-$500),Anniversary Valentine,Romantic,<6 months,Technology,Has allergies,Rare Choice,Spontaneous Surprise,Neutral,Online Delivery,Fancy Wrapping,Fashion Accessories
Non-Binary,41,Engaged,Medium ($20-$100),Anniversary Valentine,Fun,1-3 years,Art,Prefers experiences over items,Moderately Popular,Apology,Highly Appreciated,Planned Surprise,No Wrapping,Personalized Gift
Other,34,Single,Medium ($20-$100),Anniversary Valentine,Luxury,1-3 years,Gaming,Loves surprises,Moderately Popular,Apology,Never Given Gift Before,Online Delivery,Minimalist,"Experience (Trip, Dinner, etc.)"
Other,38,Dating,High ($100-$500),Anniversary Valentine,Surprise,1-3 years,Fitness,Handmade gifts appreciated,Very Popular,Spontaneous Surprise,Never Given Gift Before,Courier,Fancy Wrapping,Jewelry
Other,22,Single,Low (<$20),Casual Valentine,Practical,1-3 years,Art,Prefers experiences over items,Very Popular,Spontaneous Surprise,Neutral,In-Person,Minimalist,Chocolates
Male,20,Dating,Low (<$20),First Valentine,Sentimental,3+ years,Art,Enjoys luxury items,Rare Choice,Expression of Love,Disliked,Planned Surprise,Eco-Friendly,Chocolates
Other,19,Single,Medium ($20-$100),Anniversary Valentine,Fun,3+ years,Fitness,Prefers experiences over items,Very Popular,Expression of Love,Highly Appreciated,Courier,Fancy Wrapping,Handmade Gift
Non-Binary,48,Engaged,High ($100-$500),Long-Distance Valentine,Fun,<6 months,Gaming,Prefers practical gifts,Moderately Popular,Apology,Disliked,In-Person,Fancy Wrapping,Subscription Service
Male,24,Single,High ($100-$500),Casual Valentine,Surprise,3+ years,Gaming,Prefers experiences over items,Moderately Popular,Spontaneous Surprise,Highly Appreciated,Online Delivery,Minimalist,"Experience (Trip, Dinner, etc.)"
Female,28,Engaged,Luxury (>$500),Long-Distance Valentine,Sentimental,<6 months,Technology,Has allergies,Moderately Popular,Spontaneous Surprise,Disliked,Planned Surprise,Minimalist,Chocolates
Female,44,Married,Luxury (>$500),Anniversary Valentine,Fun,6 months - 1 year,Fitness,Handmade gifts appreciated,Very Popular,Apology,Neutral,Courier,Minimalist,Chocolates
Other,32,Married,Medium ($20-$100),First Valentine,Surprise,1-3 years,Fashion,Enjoys luxury items,Very Popular,Expression of Love,Disliked,Online Delivery,Minimalist,Jewelry
Non-Binary,33,Single,Luxury (>$500),First Valentine,Fun,1-3 years,Travel,Prefers experiences over items,Very Popular,Spontaneous Surprise,Never Given Gift Before,Planned Surprise,Eco-Friendly,"Experience (Trip, Dinner, etc.)"
Other,25,Single,Medium ($20-$100),Casual Valentine,Surprise,3+ years,Art,Loves surprises,Very Popular,Celebration,Highly Appreciated,Courier,Fancy Wrapping,Handmade Gift
Male,23,Engaged,Low (<$20),Casual Valentine,Surprise,1-3 years,Music,Prefers practical gifts,Moderately Popular,Expression of Love,Highly Appreciated,Online Delivery,Minimalist,Flowers
Non-Binary,19,Engaged,Low (<$20),Anniversary Valentine,Fun,1-3 years,Travel,Has allergies,Very Popular,Spontaneous Surprise,Highly Appreciated,Online Delivery,Minimalist,Flowers
Non-Binary,28,Dating,Luxury (>$500),Casual Valentine,Luxury,6 months - 1 year,Technology,Enjoys luxury items,Very Popular,Expression of Love,Neutral,Planned Surprise,Minimalist,Personalized Gift
Female,44,Dating,High ($100-$500),Casual Valentine,Luxury,3+ years,Sports,Has allergies,Moderately Popular,Celebration,Never Given Gift Before,In-Person,Eco-Friendly,"Experience (Trip, Dinner, etc.)"
Female,34,Engaged,Medium ($20-$100),Long-Distance Valentine,Practical,<6 months,Sports,Handmade gifts appreciated,Moderately Popular,Apology,Neutral,Courier,Eco-Friendly,Jewelry
Other,27,Married,High ($100-$500),Anniversary Valentine,Fun,1-3 years,Gaming,Loves surprises,Very Popular,Apology,Highly Appreciated,Online Delivery,Minimalist,Personalized Gift
Other,36,Dating,High ($100-$500),Long-Distance Valentine,Romantic,6 months - 1 year,Fashion,Loves surprises,Very Popular,Spontaneous Surprise,Never Given Gift Before,Courier,No Wrapping,Jewelry
